client_id,industry,sub_industry,region,company_size,annual_revenue_usd,contract_value_usd,contract_length_months,tenure_months,product_usage_hours_3m,product_usage_hours_12m,login_frequency_30d,active_users,licensed_users,analyst_calls_6m,support_tickets_6m,support_escalations_6m,avg_resolution_time_hrs,nps_score,survey_response_count_12m,discount_percent,account_notes,churn_flag
,TECH,Payments,LATAM,1k,88402.98402,78713.43833,48,17.1596403,182.0645095,396.6911792,24.14390114,4,100,1,3,1,,62,,0,executive sponsor left,0
C_11610,Retail,Infra,North America,10000,171687.2735,45245.31207,,21.28554387,115.5874059,578.4762727,,3,5,1,,0,,-12,2,15,needs training,0
C_11611,Retail, data ,,50,,89814.22554,,27.4702102,94.10260468,668.7993385,2.828569108,4,,1,1,,,28,1,,integration problem,0
,,None,,500,374113.2909,103743.3396,12 months,110.395128,47.46102445,468.9890338,20.75188148,7,,,4,1,74.88831626,9,1,,neutral,0
C_11613,SaaS,Payments,LATAM,10k,15196.64833,151093.1411,12,7.841042328,131.2586107,,7.439669164,5,20,2,3,2,,-44,,,,0
C_11614,,Infra,LATAM,50,13640.33783,126235.7703,48,,136.3634817,561.5532327,5.704225269,6,,1,5,2,,-98,0,20%,integration problem,0
C_11615,Finance,None,N. America,200,227850.5109,139949.257,,4.970130917,130.4049628,372.802159,27.89440384,,,3,2,1,94.30941818,-51,,15,,0
C_11616,Finance,Data,LATAM,1k,310454.939,143592.1293,,96.860073,,514.2449916,,7,,2,5,1,,41,1,20,neutral,0
C_11617,Technology,Infra,North America,1000,162386.2851,,48,94.06924777,161.4315549,637.7539538,15.6473149,7,,2,,0,22.9558256,7,,,neutral,0
C_11618,Energy,None,EUrope,5000,112022.2523,121651.6699,,16.55467385,,490.2302058,4.161005688,,,0,2,3,,68,,10%,bad experince,0
C_11619,Manufacturing,AI,,,41871.07561,122647.8969,12,27.45036326,57.33741766,1050.619607,0.092274191,6,50,4,5,0,72.91854018,0,3,0,executive sponsor left,0
C_11620,TECH,Data,,10k,17334.72652,73152.06706,,9.993810046,98.77775913,623.8279161,10.5835553,4,10,2,4,,8.839414144,-79,0,, integration problem ,0
,Energy,,LATAM,,204121.7071,55560.93633,,12.59993038,134.8555611,763.1497004,0.152828407,,100,0,3,2,10.17697986,,0,5,neutral,0
C_11622,Manufacturing,Cybersecurity,APAC,500+,208464.7115,37089.12395,48,12.80735664,,676.9389437,,6,50,,5,0,,6,2,,N/A,0
C_11623,Manufacturing,Cybersecurity,N. America,500+,3105.165961,,24,,,499.033805,42.25677235,7,,0,4,1,72.76590636,-91,1,,neutral,0
C_11624, healthcare ,Cybersecurity,Europe,,,10413.99206,48,,206.1136602,747.1345794,9.428183966,4,50,,1,1,24.49836674,-88,1,10%,,0
C_11625,Retail,Cybersecurity,North America,,322841.2651,32683.83485,12 months,22.30505974,74.56817964,662.3039416,1.139225854,6,10,1,1,0,93.25743416,-40,1,,executive sponsor left,0
,,Data,North America,10000,58019.7573,,,9.434259463,69.22312899,328.6312977,15.21650256,6,10,2,6,,58.31891948,-90,0,0,,0
,Retail,Cloud,Middle East,,124168.7337,,12,32.27327565,101.2409367,703.3657242,6.163903195,,100,0,,0,42.7579711,74,0,5,,0
C_11628,Technology,E-commerce,N. America,5000,31140.57964,,36 mnth,,77.52705589,709.5702316,0.568905906,6,100,1,5,,52.62289139,-22,0,10,,0
,Energy,Data,N/A,10000,146643.1252,,,6.290580077,69.08147162,512.0460164,,5,,3,5,,51.04346701,100,2,20%,pricing issue,0
,,,latam,,126427.1125,159253.0749,12 months,7.949983828,125.4042322,587.2619627,0.792170385,8,50,2,5,,34.30966759,-98,1,,low usage,0
C_11631,Heathcare,,Europe,10000,84082.04734,116060.5621,48,,,743.5196492,9.096332411,5,100,,4,,9.723244773,-34,3,10,N/A,0
C_11632,Energy,Infra,APAC,5000,130586.8195,64767.43494,,,76.87360293,607.6482779,6.888832632,4,20,1,6,0,93.71595176,-64,0,,,0
C_11633,SaaS,Cloud,N. America,500+,24548.62023,29059.34098,48,16.78070234,79.81983016,255.4113385,8.810184197,,,3,,1,31.26971198,-88,2,0,renewal likely,0
C_11634,Finance,Cybersecurity,North America,,,41354.85161,,3.512589136,136.5271172,645.5232228,2.28645025,6,5,2,3,1,,77,2,10,bad experince,0
C_11635,Manufacturing,Cloud,EUrope,10k,7844.675014,105537.5027,12,60.97025516,146.3023305,720.6578013,7.729582462,5,20,1,4,2,,75,1,20%,,0
C_11636,Technology,Infra,North America,1k,,149510.9757,36,38.83061978,57.77084466,436.3356371,,,100,0,4,,10.76909356,99,0,10,integration problem,1
C_11637,Finanace,,,1000,110523.5315,107723.3935,12 months,87.9501947,161.4221423,584.3434693,33.49586036,7,100,4,,,32.28148101,6,1,20,neutral,0
C_11638,Retail,Data,APAC,1000,1207451.674,93858.47739,24,28.93826948,203.0752679,514.5563331,6.198472994,9,20,1,1,,3.484298348,-53,1,,N/A,0
C_11639,Energy,Payments,APAC,200,237531.3324,,24,,90.38676053,337.5280677,20.85467174,8,50,0,,,,,1,,integration problem,0
,Manufacturing,Infra,LATAM,10000,310713.5855,56163.75173,12,33.24604958,100.1112712,700.9656066,0.797835401,4,,1,1,,18.34192611,,0,10,,0
C_11641,,AI,North America,,12123.12529,180798.0589,,34.54269764,197.3117988,709.1083206,11.60122683,5,10,2,2,,65.37766515,-21,,,executive sponsor left,0
C_11642,,Cybersecurity,APAC,1k,71269.05943,86443.19453,48,62.71532009,162.8402117,629.4848666,,7,20,4,,,,22,2,,needs training,0
C_11643,SaaS,Cybersecurity,LATAM,,118786.0034,,12,92.11818257,,,26.541536,2,10,0,2,0,17.96793478,-79,3,10,,0
C_11644,Retail,AI,Europe,10k,18321.24296,,36,,112.5865993,614.6666565,,1,20,,3,0,53.95828034,21,1,15,neutral,0
C_11645,Heathcare,Cybersecurity,APAC,10000,33507.85774,138876.2792,36 mnth,1.960338732,191.2750716,550.1226174,0.65217946,9,50,1,2,,54.70439139,-62,1,0,satisfied,0
C_11646,energy,,North America,10k,144439.316,109320.983,12,37.38552087,,328.4876582,,6,,0,6,,28.89605265,,0,,neutral,0
C_11647,Heathcare,Infra,APAC,200,47061.12964,,12,0.045049302,31.93342269,436.2452687,10.36461164,8,100,3,2,0,74.76889478,-32,2,20, low usage ,0
C_11648,Technology,,Europe,,,96353.02418,48,34.75792218,118.4771442,603.9349673,0.625440252,8,20,3,,0,31.36016438,71,3,,,0
,heathcare,Cybersecurity,EUrope,10k,37489.95968,41648.90309,,30.0246824,30.80904413,474.6116505,13.03554351,5,5,,2,2,,36,1,10%,,0
C_11650,Retail,Cybersecurity, latam,500+,61309.27411,,24,54.79953867,,762.5831113,6.597309694,10,20,2,1,1,13.53258389,39,1,10,executive sponsor left,0
,Finance,,n. america,,,,24,,204.5485091,765.3132024,,10,,,4,,,-5,0,15,low usage,0
,Manufacturing,Infra,APAC,200,,121931.2026,36,30.26745498,134.2006067,614.9320268,1.171793087,10,10,,4,0,67.75202933,-46,0,20,,0
C_11653,Finance,,Europe,1000,8072.963129,91915.94357,36,100.9465441,113.1903294,756.6585603,16.86880045,,,2,5,0,68.51598232,-28,2,20%,satisfied,0
C_11654,energy,E-commerce,Europe,1000,68369.52955,75054.51311,12,2.526062013,181.5553066,611.9550547,3.383406464,6,50,,5,0,37.65015962,21,0,15,integration problem,0
,Finance,Data,Europe,,44624.68344,,36 mnth,62.46870051,,441.2008268,,1,100,0,1,0,29.90186876,48,1,,satisfied,0
C_11656,Healthcare,AI,APAC,50,104926.818,,12 months,22.19131834,164.6688126,566.9758775,1.508519755,9,,1,6,0,32.82317618,9,0,N/A,bad experince,0
, manufacturin,None,,500+,97480.94022,62104.72127,36,7.552815023,137.3826166,547.7810125,3.671714681,3,,1,3,3,85.11681714,18,1,0,satisfied,0
C_11658,Technology,Cybersecurity,LATAM,500+,51428.43689,39423.22577,12 months,7.355241649,103.5966724,763.8073,35.3354663,8,,3,,3,121.1128292,-65,0,,integration problem,0
C_11659,,E-commerce,Europe,10k,437778.0632,55573.95589,36,58.56436276,108.8936535,452.8397826,24.28811439,5,20,,,,52.80582097,-77,1,10%,satisfied,0
,, e-commerce,LATAM,10000,6448.086759,105382.0625,12 months,,127.4785107,268.5314842,6.469049943,5,5,1,,2,,54,0,10%,bad experince,0
C_11661,,,,1000,8044.465372,40811.32903,24,30.95079534,172.6351656,459.4900845,10.38484867,9,50,1,6,0,48.57241467,-9,,15,integration problem,0
,,AI,Europe,5000,693469.2298,88849.88762,36,12.38055861,43.57834502,502.5221814,8.181930268,8,100,1,4,0,,-40,2,0,executive sponsor left,0
,Manufacturing,Cloud,N. America,1k,4131.540353,35257.55464,,,,353.9121777,6.662952618,4,20,1,1,1,30.29809658,97,2,20,,0
C_11664,Heathcare,None,N. America,,6453.826527,,24,18.06185377,228.1546603,120.8939441,,6,20,1,8,,54.76968859,21,2,20%,,0
C_11665,technology,None,North America,,116627.0654,107875.5911,,13.64247344,198.1164,650.7002913,10.88738177,5,50,0,1,0,10.14481941,0,1,10%,integration problem,0
C_11666,TECH,,EUrope,10000,,7506.648562,36 mnth,6.259415983,64.85468218,252.8281071,1.536006347,7,,1,0,1,,-85,3,,integration problem,0
C_11667,Energy,, n. america,500,204718.5117,,12 months,32.59049873,,400.52157,34.26332355,9,50,1,2,1,,2,1,10%,,0
,Energy,Data,EUrope,200,54685.94244,71536.34616,24,18.32680155,108.7714335,681.1471204,0.324484108,,10,0,4,0,136.863094,70,2,,neutral,0
,,Data,North America,5000,32308.67713,,,16.58700665,123.240819,135.702521,6.479702337,6,,,,0,45.04734239,-64,1,,executive sponsor left,0
C_11670,Manufacturing,AI,North America,5000,424560.9565,81554.17945,,13.27897932,53.84065456,361.5373053,62.03039677,4,50,1,2,0,13.90380577,-74,1,0,,0
C_11671,Finance,E-commerce,LATAM,10k,370250.4614,39146.46538,,,99.62284513,707.603137,,7,50,0,3,2,64.00052591,56,1,10,renewal likely,0
C_11672,Manufacturing,AI,Europe,50,23286.62443,80933.0455,36,,138.215497,784.6637816,4.800930947,,20,3,3,,52.52559438,-32,0,0,,0
,,Cybersecurity,North America,10k,32727.12894,84377.34428,,6.845112431,243.2747292,545.7099004,0.094997428,6,10,0,2,0,69.484594,-21,3,10,,0
,,Cloud,LATAM,200,63848.81302,80274.30169,12 months,10.29834487,190.8467071,494.4508117,11.37885172,5,10,0,0,2,30.48649953,58,1,20%,N/A,0
C_11675,TECH,None,North America,200,366853.9913,,36,11.77506571,189.8442875,628.0472747,8.214072272,3,5,,10,2,53.53500583,22,3,15,pricing issue,0
C_11676,tech,None,Europe,1000,,,12,,191.254189,599.801788,13.84917266,8,50,1,5,0,1.97160883,39,2,10,needs training,0
C_11677,Heathcare,,North America,500,53026.99256,71239.08508,36,,202.3958816,365.7530781,9.076486177,6,100,2,2,0,49.36140719,-77,0,20,integration problem,0
C_11678,Healthcare,,APAC,1k,6568.527951,144435.4996,,5.56640974,133.4440923,407.301878,2.456280476,3,5,0,2,0,,87,1,20%,pricing issue,0
,SaaS,None,N. America,50,90222.24106,107461.4353,12 months,,154.9628889,444.9662964,2.410735653,3,,,2,2,49.45943016,,0,10%,,0
C_11680,Retail,AI,North America,5000,8890.490134,,12,,175.8387075,409.6092359,15.77145841,7,100,1,5,2,,41,1,,executive sponsor left,0
,Technology,Data,APAC,5000,57420.50537,-1132.639971,24,30.44063576,171.7805375,411.520795,2.406072042,,,,1,1,24.34540623,-78,1,20%,pricing issue,0
,TECH,E-commerce,Middle East,10k,364135.7276,99498.24629,,,,466.9316423,9.793582258,,20,1,2,0,70.97362048,-95,0,,neutral,0
,energy,None,Middle East,50,79588.52879,189385.0083,,,152.8148182,,22.43343228,5,,1,6,1,,-75,0,10%,integration problem,0
C_11684,Manufacturing,Cloud,EUrope,200,,78179.64695,,20.986397,146.0779232,882.8038842,12.8803188,6,,2,2,0,98.12434867,,1,10%,,0
C_11685,Healthcare,None,North America,10000,,148386.5607,36 mnth,1.711328903,139.9784868,687.9752848,3.619106366,6,20,1,7,,86.90831786,94,0,,bad experince,0
C_11686,SaaS,Cybersecurity,EUrope,10k,237296.6285,,24,1.297846092,,358.5967423,29.71792714,,20,2,5,1,96.68466226,,2,,executive sponsor left,0
,Heathcare,Data,EUrope,1k,133360.5793,105444.6404,,1.300692856,146.1960833,510.4899147,7.072065864,,100,,4,0,51.86191153,29,4,5,,0
C_11688,N/A,None,,10k,48423.7868,181205.4103,36,11.95072384,175.2820484,514.9559415,29.78170893,3,50,0,4,2,40.85087202,76,2,10,,0
C_11689,Technology,E-commerce,N. America,,288374.7743,90107.57105,36,35.34804196,107.833726,747.6190887,25.25943602,4,,1,2,,,-86,0,20%,pricing issue,0
C_11690,SaaS,E-commerce,LATAM,5000,22703.67861,10473.40362,24,,166.5610584,581.7363137,3.615483761,4,5,1,2,1,,-8,2,,,0
C_11691,Energy,Data,LATAM,200,,48031.64663,12,13.0992201,132.8989153,,3.18394935,5,50,1,2,0,,55,1,,,0
C_11692,SaaS,,EUrope,10000,172642.2218,64890.39683,48,69.93997616,214.0252687,363.115488,2.604136008,4,10,,4,0,,90,1,20,,0
C_11693,TECH,,LATAM,50,,55058.91907,12 months,32.40382471,91.91492453,321.131153,0.859863154,7,,0,1,1,96.61079739,3,2,,needs training,0
C_11694,Manufacturing,Payments,,5000,145858.2414,,48,14.29954444,196.4512191,611.2817325,14.83675412,5,20,,5,0,27.80218137,22,4,,integration problem,0
C_11695,Heathcare,None,LATAM,10000,12729.39928,,12,51.92373875,178.6652334,618.0244448,2.352666303,5,10,,5,,68.94289853,-18,,0,bad experince,0
,SaaS,E-commerce,APAC,,61498.48413,1426.28921,12 months,2.946145096,153.7157069,683.7726322,1.866741318,4,50,0,5,0,,66,2,,executive sponsor left,0
,,Infra,,200,7391.981797,102911.7173,,38.60883047,117.1943167,540.079341,0.308538529,1,5,0,3,0,,-50,1,15,,0
,SaaS,Data,EUrope,500,10745.22782,125101.4387,,24.62992355,113.0783429,,12.62092346,3,,0,5,1,,61,1,0,neutral,0
C_11699,Finanace,E-commerce,,1k,45476.56831,54825.93017,12,33.38607811,147.41314,315.184076,12.63466834,2,100,,4,0,,-45,0,,executive sponsor left,0
,Healthcare,Cloud,North America,10k,30074.44876,88921.14973,48,11.20534501,146.4436947,528.1522451,18.67474592,7,,0,2,,43.92006564,-16,0,5,,0
C_11701,TECH,None,North America,10k,20334.08296,90103.92172,36,17.23918007,202.6641434,455.0896372,74.46905353,8,10,0,3,,31.09038721,64,,0,satisfied,0
C_11702,Manufacturing,Cloud,,10000,,40763.47316,12,12.95926969,,502.4040349,26.4039229,6,10,2,6,1,8.467790367,-26,4,,pricing issue,0
,,Cloud,N. America,1000,668953.0315,81461.97846,36,0.995261221,91.46303001,,25.80464045,8,,,4,0,118.3524788,-5,1,5,bad experince,0
,Heathcare,Infra,EUrope,5000,21222.25223,85726.74723,48,6.4025164,175.8488055,,1.27386818,,10,2,2,,8.631224017,,0,,bad experince,0
C_11705,Heathcare,Cloud,LATAM,10000,20831.75757,98428.84239,12,15.63123617,172.4141571,721.6280759,20.32150712,7,100,2,5,1,58.94480017,,3,10%,pricing issue,0
C_11706,Healthcare,N/A,Middle East,50,9654.305135,51009.88311,12,11.2772207,,625.0727045,6.421502085,8,5,4,2,2,46.67277426,-5,,20,,0
,Finance,Payments,N. America,10k,63424.73887,108420.8706,12,30.52811131,184.6219203,,3.48354828,5,50,1,4,2,58.3039907,,,10%, pricing issue ,0
C_11708,Finance,Infra,APAC,10000,,40846.25378,24,,171.062122,701.8056844,15.28876629,,50,1,,2,92.5171654,29,1,,,0
C_11709,Energy, e-commerce,N. America,10k,5914552.324,,12 months,6.846133761,127.8284604,489.3482563,21.96151819,9,,,0,0,0.211462485,-49,0,5,pricing issue,0
,SaaS,Payments,N. America,10000,106432.568,137801.1973,48,6.216411374,163.026481,705.1635763,1.692674891,3,,1,5,0,,5,1,10,,0
C_11711,Finanace,,N/A,5000,42183.2021,26635.85396,24,14.76520461,192.0489816,882.0155753,0.067136305,5,5,,,4,74.25497102,92,,0,,0
C_11712,Heathcare,,North America,,,41405.97464,36,3.532472973,136.6544867,812.659419,11.59758323,8,,1,4,2,91.01110164,,1,,,0
C_11713,SaaS,None,N. America,10000,21960.79895,87225.9038,36 mnth,10.51943672,166.0326384,469.467791,19.49196324,6,10,1,,,62.35652681,-79,,,integration problem,0
C_11714,Heathcare,,,50,,94829.07321,12 months,13.17627688,,353.8693736,0.714191818,5,,,2,2,55.38831193,-54,2,,,0
,Heathcare,AI,Middle East,10000,262173.7569,86638.68508,36 mnth,,163.3969126,324.0090064,2.944523879,,100,0,3,0,,20,0,5,needs training,0
C_11716,SaaS,Cybersecurity,EUrope,500,131175.8827,,48,24.76909863,,764.224542,3.561083151,5,100,1,4,1,71.12821054,76,1,,low usage,0
,Healthcare,E-commerce,North America,5000,26562.97798,129960.0777,,,78.73259421,514.2897555,23.21863597,9,,,4,,44.57011292,,1,0,executive sponsor left,0
C_11718,Finance,E-commerce,,500,490753.0055,,24,4.805096525,202.9678588,513.5246358,3.585911912,2,20,2,2,0,61.98816514,-90,2,10,,0
C_11719,Retail,cybersecurity,LATAM,10000,,,36,39.45974031,66.72668406,339.3170467,0.518099028,7,,2,,0,57.70894283,-1,3,10%,pricing issue,0
C_11720,Technology,E-commerce,Europe,50,,81854.07109,36 mnth,9.23375738,79.20753792,904.8342952,,4,,0,1,0,85.53912119,-40,0,15,pricing issue,0
C_11721,Healthcare,Payments,EUrope,10000,196724.4416,13669.22719,48,5.125826732,65.15780412,786.8842623,5.139554448,3,10,3,4,0,10.95225069,-15,1,,,0
C_11722,TECH,Cybersecurity,EUrope,1000,184939.0025,127606.3096,,28.16192534,59.42660027,728.78766,14.4328389,8,10,,1,0,,-5,0,,,0
C_11723,Finanace,Cybersecurity, @p@c ,10k,37385.68268,26340.88438,,14.16831625,147.4498626,435.6114695,5.154968407,10,10,2,6,1,61.48939169,-7,1,10%,satisfied,0
C_11724,Finanace, cybersecurity ,,5000,128836.1775,140448.6478,12,12.22577773,44.3361716,651.0890468,6.481418517,8,100,2,,0,105.6251673,68,4,,pricing issue,0
C_11725,Technology,Infra,LATAM,50,336264.6161,114668.9935,12 months,6.311624752,132.8427949,660.0179556,11.3263505,4,5,0,2,0,25.0512361,-75,1,,satisfied,0
C_11726,Finanace,,,1k,162376.7916,,36 mnth,,53.5658934,,0.176781998,5,20,2,3,0,76.29378136,-43,1,15,,0
,,None,EUrope,10k,34743.65277,,24,0.452874381,211.2630929,847.6367464,8.440691492,3,20,1,2,1,8.120066779,-14,2,,bad experince,0
, finanace,Cybersecurity,,500,82735.27813,67016.23782,12 months,45.31126899,192.5745985,456.0613942,2.097724821,7,,,7,0,,2,1,10,neutral,0
,Retail,None,APAC,5000,74803.13208,,,,60.67971585,,27.17180719,8,10,3,,0,35.35527443,13,2,15,integration problem,0
C_11730,Finanace, ai,,5000,142263.0393,39804.07301,12,5.18564055,128.4900309,696.5642431,5.898330986,3,20,0,5,2,71.00127783,,1,,renewal likely,0
C_11731,Heathcare,Payments,Europe,10000,,133626.7944,48,1.21874259,98.01591519,365.4049848,1.427208771,,5,0,3,2,,-66,2,,low usage,0
,Healthcare,,LATAM,200,3698.396333,100478.3749,,26.55487961,162.5406198,683.0786883,31.01123123,7,10,1,2,1,106.7058741,,3,20%,low usage,0
C_11733,SaaS,E-commerce,N. America,1k,17837.36293,132640.1505,24,9.368242845,143.7471563,,0.93880052,,50,2,1,0,73.11299617,,3,10, needs training,0
C_11734,Finance,,Middle East,200,73811.87337,104348.1924,48,31.73091248,47.19309594,,,4,,,3,,56.33148589,65,2,20,needs training,0
C_11735,Finanace, @i ,LATAM,200,181195.9646,-3368.925391,48,38.67112906,200.6248838,657.3563626,14.4068343,8,5,1,2,0,7.828494899,85,0,20%,executive sponsor left,0
,Energy,E-commerce,Middle East,5000,54977.20661,114055.9491,36 mnth,71.1001283,35.87060326,372.3126116,6.30068265,3,,1,6,1,14.22322641,0,5,20%,bad experince,0
C_11737,,None,LATAM,10000,42409.58593,151756.9588,36,24.91570377,,595.8957804,6.827312826,6,,1,2,0,17.96749819,,0,20%,,0
,Energy,Cybersecurity,Europe,500+,,,12,20.40155919,24.16413263,478.5253313,5.067156858,5,20,1,5,1,61.5411733,-21,2,10,neutral,0
,Finanace,E-commerce,n. america,,24352.37972,80427.09827,12,,,606.1235097,14.95451238,5,50,,1,2,78.84460856,36,1,,low usage,0
C_11740,,,Europe,500,155430.9746,93187.58047,12,71.79624501,,446.1350482,11.91226511,3,5,2,2,,,-77,1,,low usage,0
,N/A,Cybersecurity, europe ,10k,693003.162,93012.858,36,,162.5656549,527.4565155,11.31024299,6,100,4,,,61.35151659,49,2,10,,0
C_11742,Manufacturing,Cybersecurity,Europe,50,31445.17587,65322.63723,36,1.17739887,105.1804067,510.4980325,2.540132751,,,1,5,1,,-20,0,,bad experince,0
C_11743,Finanace,,N/A,,53658.44134,,,,64.40817766,96.73025917,2.275385103,8,10,2,5,0,32.44039476,-38,1,20,pricing issue,0
C_11744,TECH,Cloud,North America,500,18203.63459,52183.40266,24,0.363376193,,,6.062657303,10,,0,,1,60.2607279,-89,0,10,,0
C_11745,Manufacturing,None,EUrope,500,,,48,40.91775734,23.06550459,199.1270979,15.61460761,5,20,1,4,0,43.43337871,-64,1,,pricing issue,0
,Technology,Payments,Middle East,1k,138747.9805,68994.46038,48,54.45655727,103.1573249,447.5078321,4.572057796,5,5,1,2,0,100.7635996,37,1,20%,renewal likely,0
C_11747,Retail,Cloud,Europe,,,144268.2793,24,13.30354736,100.9933555,364.1182578,14.45431174,7,,1,,0,81.65668908,-12,2,,needs training,0
C_11748,Heathcare,,LATAM,10000,322609.4735,127700.1522,,20.53511682,178.5112249,340.1278491,6.269274074,7,50,,,1,,-8,1,,pricing issue,0
C_11749,Finanace,E-commerce,EUrope,5000,13658.5371,90714.29749,36 mnth,45.50469085,118.899759,526.5664358,5.199278881,5,,0,4,2,36.98922091,-50,0,10%,neutral,0
C_11750,Healthcare,E-commerce,Europe,5000,123732.9289,145355.8398,36,74.80540066,71.01845823,238.6332834,0.403649203,10,5,2,4,2,50.34010168,-95,0,10,,0
C_11751,SaaS,Data,Europe,,14056.10671,89906.26464,,10.704079,190.1715629,574.7497904,2.929369864,1,5,4,,,,-82,1,,satisfied,0
C_11752,Healthcare,Data,Europe,,19502.46818,194587.602,36 mnth,1.149543052,149.1768217,206.4352399,4.23538145,3,100,,7,,60.15837735,,0,20,integration problem,0
,Healthcare,,LATAM,,142806.2381,,24,25.25635529,,457.0622665,10.97772083,7,10,1,3,1,45.00262058,-40,1,5,low usage,0
C_11754,Technology,,Middle East,10000,267128.8486,19837.8575,12,82.29669149,131.7106768,784.5086887,6.07397045,3,50,1,2,1,,,1,15, pricing issue,0
C_11755,SaaS,Infra,Europe,10k,73703.14093,114531.1951,,59.19334834,151.6456862,460.0827778,9.658330613,1,20,,2,0,26.48531985,60,0,20,low usage,0
C_11756,Technology,None,Europe,,1499722.314,46301.52679,36,93.15619982,135.0228726,598.7458676,0.342373376,,,2,2,1,,28,2,,bad experince,0
,Manufacturing,None,LATAM,1k,16719.01632,48404.0508,24,11.62732033,88.36355318,450.6043964,2.918885747,,,3,3,0,,41,0,,satisfied,0
C_11758, technology ,Cybersecurity,LATAM,10k,71418.19506,154874.559,36,,115.9608579,616.4948657,19.68869205,,,2,8,0,66.45348071,-76,2,15,,0
C_11759,Energy,Cloud,N. America,5000,23813.22079,63741.6711,36 mnth,9.386602268,140.883478,443.9143789,14.68748397,8,10,1,2,,26.01581443,56,1,5,low usage,0
C_11760,Retail,Data,APAC,200,151790.1952,95973.68621,24,,104.2290469,454.4208728,5.151434875,9,20,2,3,1,,-62,,,low usage,0
,Energy,AI,North America,50,58335.55448,22390.41596,,22.39107335,90.97137558,312.1946533,14.64182445,9,10,2,2,,,-56,1,15,,0
C_11762,Finanace,Infra,,10000,5549672.919,100556.6674,12,17.69863571,,479.1367075,11.0207226,8,20,1,3,,53.902065,-45,1,5,pricing issue,0
C_11763,Manufacturing,E-commerce,EUrope,500,5807.190579,-1030.272992,36 mnth,16.73429147,,535.0245537,5.396878694,7,100,0,,0,76.71972017,1,,10,satisfied,0
C_11764,TECH,Infra,EUrope,200,84018.27516,,,17.6294364,159.327139,471.5940645,16.19391839,7,100,1,5,0,23.19023372,28,3,,,0
,Manufacturing,Cybersecurity,APAC,10000,480588.1312,132525.9127,36 mnth,,101.4051874,144.293095,6.094830966,,100,0,2,,50.63961326,-6,1,15,needs training,0
C_11766,TECH,Infra,APAC,,26250.33539,5279.242606,48,,156.9126586,480.0287048,4.984213109,11,5,1,4,1,17.0347536,20,,N/A,,0
C_11767,,Data,N/A,500+,13586.64272,95667.74976,36,59.52500443,68.60658208,293.3676799,15.85223703,4,20,0,2,2,49.04524434,38,1,10%,pricing issue,0
C_11768,N/A,Cloud,Middle East,10k,111743.8528,,,2.561049103,54.45087507,829.0582823,1.005037791,5,50,0,4,,,-87,2,0, renew@l likely ,0
,Technology,,Middle East,,28404.01761,47241.73815,36 mnth,45.77978128,151.4903035,469.9520536,36.02987087,,50,0,4,,,89,2,,neutral,0
C_11770,,Payments,EUrope,500,32223.5078,,36 mnth,44.56018383,191.3025227,512.233621,14.03242867,2,,1,2,0,85.70726606,59,0,20,pricing issue,0
C_11771,,,North America,1k,402807.3447,60658.97769,12 months,58.39616389,95.53073286,407.5442911,22.56925968,4,,2,3,1,46.76428388,-54,,,neutral,0
,healthcare,None,APAC,50,1005349.615,,36 mnth,3.500896003,105.2650886,331.7012583,18.23967433,8,5,,4,0,27.34496445,-84,1,10,,0
,Finance,cloud,APAC,10k,909378.6281,64786.10326,12,,184.7749871,,1.82495038,7,,2,1,0,37.47098717,-62,3,,,0
C_11774,Manufacturing,,,,856409.8492,72215.9737,48,4.015109168,138.7531764,483.2485918,4.2015334,5,5,2,3,,76.45901672,98,3,20%,satisfied,0
C_11775,,Data,LATAM,,,65174.9717,48,17.67766156,169.2496768,412.4061422,2.860495721,6,20,0,3,1,72.15755414,76,0,,bad experince,0
C_11776,Finanace,,LATAM,500+,242203.2227,,36 mnth,42.13082119,125.4221505,573.0655086,4.703413988,4,50,0,5,0,,-4,1,10%,integration problem,0
C_11777,Energy,Infra,Europe,1000,9216.484517,46748.62884,36 mnth,,83.95891982,616.3522849,6.780563645,,10,1,5,1,,39,1,0,executive sponsor left,0
,Heathcare,Infra, north @meric,,23988.69776,62614.52318,36 mnth,89.16040455,102.2803009,828.6545029,11.34257374,7,10,2,4,1,50.80675342,-3,0,,,0
, finanace,Cloud,N. America,500,8069.053987,58935.12416,,40.93031576,131.2471534,,44.87539303,4,,1,,0,27.32722285,-59,1,,,0
,Finance,Data,,500,17566.20792,,36 mnth,1.704406024,132.5907709,679.5357233,3.921984108,,,,2,0,62.43762105,-47,1,15,bad experince,0
,Technology,None,LATAM,500,,67505.53795,12 months,64.46029416,156.7424316,949.8443179,2.912409797,8,100,0,,1,65.1325802,4,0,10%,,0
C_11782,N/A,Cloud,,500,,,,,108.6365725,430.841003,7.462830072,13,,2,4,0,20.23366835,-100,1,20%,,0
C_11783, energy,Infra,Europe,,,50326.30519,24,50.97122634,109.4121717,426.3564266,39.04401327,4,10,3,3,2,16.16498941,-45,2,0,executive sponsor left,0
C_11784,Energy, data ,Europe,5000,6571.138458,85370.80171,48,1.126425797,103.0078676,65.32876826,6.933321856,5,50,,2,,33.9302662,,0,20,,0
C_11785,SaaS,Payments,APAC,50,38586.03971,57308.06599,12,10.03458502,128.482341,187.6151229,0.190318873,5,50,1,4,1,,72,0,15,executive sponsor left,0
