,Industry,Sub Industry,Region,Company size,Annual revenue(USD),Contract value(USD),Contract length(m),Product usage hours(3m),Product usage hours(12m),Login frequency(30d),Active users,Licensed users,Analyst calls(6m),Support tickets(6m),Support escalations(6m),Avg resolution time(hrs),Nps score,Survey response count(12m),Discount,Account notes,Churn flag,Tenure(d),missing_discount,missing_licensed_users,missing_avg_resolution,missing_contract,missing_tenure,missing_support_esc,missing_analyst_calls,missing_product_usage(3m),missing_product_usage(12m),missing_nps_score,missing_contract_length,Utilization ratio,Utilization Bin,Resolution_Time_Bucket,NPS_Category,tenure_bucket
1475,Healthcare,Cloud,Apac,10000,5958.96,88035.62,,68.76,462.82,8.63,6,,1.0,6,2.0,37.98,51,1,0.1,pricing issue,0.0,710,0,1,0,0,0,0,0,0,0,0,1,,,24-48h,Promoter (51 to 100),18-24 months
1476,Finance,,Middle East,,63451.09,32349.33,,90.07,567.91,22.55,5,10,5.0,5,2.0,55.97,-55,3,,bad experince,0.0,2623,1,0,0,0,0,0,0,0,0,0,1,0.5,"(0.4, 0.6]",48h+,Detractor (-100 to 0),5-10 years
1477,Saas,E-commerce,,10000,79320.01,40876.66,36,191.5,637.72,,6,50,2.0,7,0.0,92.05,92,1,0.1,neutral,0.0,833,0,0,0,0,0,0,0,0,0,0,0,0.12,"(0.0, 0.2]",48h+,Promoter (51 to 100),2-3 years
1478,Saas,Infra,,1000,106548.82,63079.99,12,66.48,418.38,20.22,1,50,1.0,8,0.0,2.84,42,1,0.15,,0.0,1234,0,0,0,0,0,0,0,0,0,0,0,0.02,"(0.0, 0.2]",<6h,Passive (1 to 50),3-5 years
1479,Energy,Payments,Latam,,,62471.28,12,,,11.17,5,50,0.0,3,0.0,,,1,,renewal likely,0.0,,1,0,1,0,1,0,0,1,1,1,0,0.1,"(0.0, 0.2]",,,
1480,Finance,,North America,1000,519960.98,119691.51,,,398.86,20.44,10,,1.0,3,1.0,39.7,77,0,0.15,,0.0,,0,1,0,0,1,0,0,1,0,0,1,,,24-48h,Promoter (51 to 100),
1481,Finance,,North America,5000,85116.8,,24,172.98,216.22,31.05,7,50,2.0,1,0.0,55.94,97,,0.1,executive sponsor left,0.0,261,0,0,0,1,0,0,0,0,0,0,0,0.14,"(0.0, 0.2]",48h+,Promoter (51 to 100),6-12 months
1482,Retail,Data,,10000,81749.79,91235.78,48,55.56,487.87,6.1,4,100,4.0,3,,100.57,-1,0,,pricing issue,0.0,97,1,0,0,0,0,1,0,0,0,0,0,0.04,"(0.0, 0.2]",,Detractor (-100 to 0),3-6 months
1483,Finance,,Latam,500,78117.79,89817.53,,156.72,264.25,,6,5,1.0,9,0.0,1.11,38,3,0.0,executive sponsor left,0.0,1076,0,0,0,0,0,0,0,0,0,0,1,1.2,,<6h,Passive (1 to 50),2-3 years
1484,Finance,Cloud,Europe,10000,94918.68,138207.34,24,,441.91,,3,5,0.0,4,0.0,45.14,-74,0,,needs training,0.0,,1,0,0,0,1,0,0,1,0,0,0,0.6,"(0.4, 0.6]",24-48h,Detractor (-100 to 0),
1485,,,,1000,452174.06,66547.9,12,193.17,433.36,36.19,4,10,1.0,4,2.0,49.53,18,0,0.2,renewal likely,0.0,250,0,0,0,0,0,0,0,0,0,0,0,0.4,"(0.2, 0.4]",48h+,Passive (1 to 50),6-12 months
1486,Technology,,Middle East,50,28763.87,,12,,,0.61,7,,,5,0.0,49.86,-19,0,,bad experince,0.0,,1,1,0,1,1,0,1,1,1,0,0,,,48h+,Detractor (-100 to 0),
1487,Technology,AI,Middle East,1000,64078.75,97683.85,36,75.13,779.75,5.02,4,50,,6,2.0,93.83,3,1,0.05,integration problem,0.0,285,0,0,0,0,0,0,1,0,0,0,0,0.08,"(0.0, 0.2]",48h+,Passive (1 to 50),6-12 months
1488,Technology,Cloud,Europe,5000,,,,96.71,580.87,2.92,5,100,3.0,,3.0,,-6,,0.1,renewal likely,0.0,1164,0,0,1,1,0,0,0,0,0,0,1,0.05,"(0.0, 0.2]",,Detractor (-100 to 0),3-5 years
1489,Healthcare,,Europe,50,546960.7,129361.5,12,194.88,640.05,3.22,,,2.0,5,0.0,56.09,-8,1,0.05,needs training,0.0,727,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Detractor (-100 to 0),18-24 months
1490,,Data,Apac,10000,5841.03,151952.96,36,93.5,623.81,7.93,7,,,2,1.0,46.09,-14,2,,bad experince,0.0,175,1,1,0,0,0,0,1,0,0,0,0,,,24-48h,Detractor (-100 to 0),3-6 months
1491,Healthcare,,Middle East,10000,1428.41,,24,212.97,495.25,13.3,4,5,2.0,7,1.0,47.65,-2,2,0.1,bad experince,0.0,592,0,0,0,1,0,0,0,0,0,0,0,0.8,"(0.6, 0.8]",24-48h,Detractor (-100 to 0),18-24 months
1492,Healthcare,E-commerce,,,134654.82,,,-24.1,746.18,5.74,6,,2.0,1,0.0,,-79,1,0.1,executive sponsor left,0.0,1827,0,1,1,1,0,0,0,0,0,0,1,,,,Detractor (-100 to 0),5-10 years
1493,Manufacturing,Infra,Latam,200,33143.95,99278.05,36,,421.79,7.22,6,,,5,1.0,69.39,77,,0.2,,0.0,1052,0,1,0,0,0,0,1,1,0,0,0,,,48h+,Promoter (51 to 100),2-3 years
1494,Healthcare,,Europe,500,22516.64,,36,,192.02,8.22,3,5,2.0,2,,35.62,69,2,0.15,,0.0,775,0,0,0,1,0,1,0,1,0,0,0,0.6,"(0.4, 0.6]",24-48h,Promoter (51 to 100),2-3 years
1495,Finance,,Europe,50,45870.85,,36,134.25,486.61,10.11,1,20,,5,,57.63,-32,2,,,0.0,,1,0,0,1,1,1,1,0,0,0,0,0.05,"(0.0, 0.2]",48h+,Detractor (-100 to 0),
1496,Saas,E-commerce,Middle East,1000,,6811.57,12,118.46,221.93,12.86,9,,2.0,5,,,51,1,0.1,low usage,0.0,593,0,1,1,0,0,1,0,0,0,0,0,,,,Promoter (51 to 100),18-24 months
1497,Technology,,,1000,15945.11,-2264.03,,223.52,373.45,16.49,7,,3.0,,0.0,89.02,74,0,,neutral,0.0,954,1,1,0,0,0,0,0,0,0,0,1,,,48h+,Promoter (51 to 100),2-3 years
1498,Finance,,Europe,1000,41538.46,111887.85,,,,5.34,,,1.0,4,1.0,,-72,2,0.2, satisfied,0.0,437,0,1,1,0,0,0,0,1,1,0,1,,,,Detractor (-100 to 0),12-18 months
1499,Energy,,Europe,5000,93507.95,47502.8,48,73.6,,20.0,,10,,3,0.0,64.17,46,2,,neutral,0.0,,1,0,0,0,1,0,1,0,1,0,0,,,48h+,Passive (1 to 50),
1500,Manufacturing,Payments,North America,1000,321580.89,39261.53,48,,543.53,0.12,6,10,2.0,3,1.0,71.1,-79,,0.15,satisfied,0.0,,0,0,0,0,1,0,0,1,0,0,0,0.6,"(0.4, 0.6]",48h+,Detractor (-100 to 0),
1501,Retail,E-commerce,Europe,1000,272138.89,79297.15,12,168.82,442.61,1.89,2,10,2.0,3,0.0,7.57,-56,0,,renewal likely,0.0,137,1,0,0,0,0,0,0,0,0,0,0,0.2,"(0.0, 0.2]",6-12h,Detractor (-100 to 0),3-6 months
1502,Retail,Infra,,,140603.09,117341.64,12,148.06,239.44,9.4,4,10,,2,,2.86,21,1,0.05,,0.0,632,0,0,0,0,0,1,1,0,0,0,0,0.4,"(0.2, 0.4]",<6h,Passive (1 to 50),18-24 months
1503,Retail,AI,Middle East,200,23508.68,,36,183.63,466.89,15.58,3,20,,3,0.0,83.07,-13,1,0.1,,0.0,717,0,0,0,1,0,0,1,0,0,0,0,0.15,"(0.0, 0.2]",48h+,Detractor (-100 to 0),18-24 months
1504,Finance,AI,Latam,5000,18204.57,113302.96,24,141.27,554.09,27.36,3,,0.0,5,0.0,14.81,-63,1,0.05,low usage,0.0,234,0,1,0,0,0,0,0,0,0,0,0,,,12-24h,Detractor (-100 to 0),6-12 months
1505,Retail,Cloud,North America,1000,149475.1,80178.18,24,61.49,417.91,0.6,,5,1.0,2,1.0,95.99,45,1,0.2,satisfied,0.0,73,0,0,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),0-3 months
1506,Technology,E-commerce,Europe,5000,152343.57,,,128.91,357.65,2.97,5,20,,5,,59.28,17,0,,executive sponsor left,0.0,81,1,0,0,1,0,1,1,0,0,0,1,0.25,"(0.2, 0.4]",48h+,Passive (1 to 50),0-3 months
1507,Manufacturing,Data,Europe,10000,,60468.89,12,83.58,541.99,6.83,6,5,0.0,1,,32.67,-85,0,0.0,,0.0,,0,0,0,0,1,1,0,0,0,0,0,1.2,,24-48h,Detractor (-100 to 0),
1508,Technology,,Middle East,10000,60012.53,104566.34,12,159.04,87.25,12.64,7,100,0.0,4,0.0,51.84,-59,2,0.2,bad experince,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0.07,"(0.0, 0.2]",48h+,Detractor (-100 to 0),0-3 months
1509,Saas,,,200,2188091.28,,12,170.51,742.63,9.06,7,,2.0,5,,41.86,-30,0,,renewal likely,0.0,2177,1,1,0,1,0,1,0,0,0,0,0,,,24-48h,Detractor (-100 to 0),5-10 years
1510,Manufacturing,AI,Apac,50,,95979.43,12,198.96,351.45,9.71,4,,4.0,1,3.0,71.83,64,0,0.0,needs training,0.0,450,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Promoter (51 to 100),12-18 months
1511,,Payments,,10000,88854.72,,48,134.82,628.95,,4,5,1.0,1,0.0,55.92,-95,0,0.2,integration problem,0.0,153,0,0,0,1,0,0,0,0,0,0,0,0.8,"(0.6, 0.8]",48h+,Detractor (-100 to 0),3-6 months
1512,Manufacturing,E-commerce,Latam,200,22519.51,37161.59,36,75.71,493.9,53.02,5,20,2.0,1,0.0,32.39,-63,0,,satisfied,0.0,531,1,0,0,0,0,0,0,0,0,0,0,0.25,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),12-18 months
1513,,E-commerce,Middle East,1000,231342.45,53892.66,,172.38,403.49,7.18,4,100,0.0,4,0.0,44.93,-54,2,0.05,,0.0,2245,0,0,0,0,0,0,0,0,0,0,1,0.04,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),5-10 years
1514,Healthcare,AI,North America,1000,192428.81,138750.49,36,65.32,308.03,0.8,5,,0.0,3,0.0,,99,0,0.05, executive sponsor left ,0.0,851,0,1,1,0,0,0,0,0,0,0,0,,,,Promoter (51 to 100),2-3 years
1515,Finance,E-commerce,,10000,138073.46,74894.45,24,65.55,603.16,4.26,,,3.0,2,2.0,8.59,-100,1,0.1,integration problem,0.0,5548,0,1,0,0,0,0,0,0,0,0,0,,,6-12h,Detractor (-100 to 0),10+ years
1516,,Infra,Europe,10000,17638.42,131274.59,36,,657.77,8.98,7,50,2.0,8,0.0,27.58,64,0,0.15,,0.0,2222,0,0,0,0,0,0,0,1,0,0,0,0.14,"(0.0, 0.2]",24-48h,Promoter (51 to 100),5-10 years
1517,Retail,,North America,,513559.79,167377.14,48,151.47,441.21,5.6,2,10,1.0,3,,25.06,11,3,0.05,needs training,0.0,94,0,0,0,0,0,1,0,0,0,0,0,0.2,"(0.0, 0.2]",24-48h,Passive (1 to 50),3-6 months
1518,Healthcare,Payments,Apac,200,263189.38,,12,,166.24,9.92,9,100,3.0,4,0.0,90.01,71,,,satisfied,0.0,,1,0,0,1,1,0,0,1,0,0,0,0.09,"(0.0, 0.2]",48h+,Promoter (51 to 100),
1519,,Payments,Latam,200,611134.98,,,,823.55,1.43,8,20,,9,,99.97,-46,2,0.0,pricing issue,0.0,1013,0,0,0,1,0,1,1,1,0,0,1,0.4,"(0.2, 0.4]",48h+,Detractor (-100 to 0),2-3 years
1520,,Data,Europe,10000,29996.99,152074.19,36,181.69,70.75,26.59,6,100,,3,1.0,30.86,,,,executive sponsor left,0.0,5673,1,0,0,0,0,0,1,0,0,1,0,0.06,"(0.0, 0.2]",24-48h,,10+ years
1521,,Cloud,Middle East,,49810.43,81389.49,12,171.92,691.35,5.37,9,20,2.0,3,,60.1,8,2,0.2,,0.0,522,0,0,0,0,0,1,0,0,0,0,0,0.45,"(0.4, 0.6]",48h+,Passive (1 to 50),12-18 months
1522,Manufacturing,E-commerce,Middle East,10000,,127833.77,48,131.78,,11.97,2,,3.0,3,0.0,47.18,-71,1,,integration problem,0.0,706,1,1,0,0,0,0,0,0,1,0,0,,,24-48h,Detractor (-100 to 0),18-24 months
1523,Healthcare,Payments,North America,200,13951.03,16509.74,48,128.12,80.35,4.8,7,10,2.0,3,0.0,103.99,,0,0.0,satisfied,0.0,772,0,0,0,0,0,0,0,0,0,1,0,0.7,"(0.6, 0.8]",,,2-3 years
1524,Saas,Infra,North America,1000,62577.22,137784.07,,137.18,829.29,13.69,5,100,3.0,3,0.0,79.11,,1,,,0.0,,1,0,0,0,1,0,0,0,0,1,1,0.05,"(0.0, 0.2]",48h+,,
1525,Finance,Cybersecurity,Latam,1000,,,24,,449.18,7.24,,,,4,0.0,36.67,,2,0.1,integration problem,0.0,,0,1,0,1,1,0,1,1,0,1,0,,,24-48h,,
1526,Saas,,Europe,,72651.27,28295.48,48,221.85,413.61,0.47,7,50,0.0,6,1.0,,86,0,0.1,integration problem,0.0,,0,0,1,0,1,0,0,0,0,0,0,0.14,"(0.0, 0.2]",,Promoter (51 to 100),
1527,Finance,Infra,Apac,1000,114723.94,133776.19,36,121.62,704.6,20.98,4,20,3.0,7,0.0,23.9,89,0,,executive sponsor left,0.0,,1,0,0,0,1,0,0,0,0,0,0,0.2,"(0.0, 0.2]",12-24h,Promoter (51 to 100),
1528,Finance,E-commerce,,200,74492.26,52234.3,,78.94,286.88,3.66,3,5,1.0,4,,105.63,-87,,0.1,low usage,0.0,3531,0,0,0,0,0,1,0,0,0,0,1,0.6,"(0.4, 0.6]",,Detractor (-100 to 0),5-10 years
1529,Retail,E-commerce,,5000,,74709.52,,79.97,606.72,8.31,3,100,2.0,3,0.0,65.46,9,1,0.0,integration problem,0.0,3709,0,0,0,0,0,0,0,0,0,0,1,0.03,"(0.0, 0.2]",48h+,Passive (1 to 50),10+ years
1530,,Data,Europe,500,247950.76,73814.19,24,6.81,536.41,1.54,7,10,2.0,2,0.0,9.47,37,0,,executive sponsor left,0.0,882,1,0,0,0,0,0,0,0,0,0,0,0.7,"(0.6, 0.8]",6-12h,Passive (1 to 50),2-3 years
1531,Healthcare,E-commerce,,50,,24609.35,36,113.42,523.28,26.79,11,,1.0,6,0.0,50.6,-74,1,0.2,,0.0,631,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Detractor (-100 to 0),18-24 months
1532,Technology,,Europe,200,,136272.17,,120.96,550.98,0.35,10,10,,6,0.0,,35,1,0.1,renewal likely,0.0,661,0,0,1,0,0,0,1,0,0,0,1,1.0,"(0.8, 1.0]",,Passive (1 to 50),18-24 months
1533,Finance,Cloud,North America,,74208.45,129800.39,12,157.24,425.14,7.13,1,,,6,,69.13,56,1,,needs training,0.0,,1,1,0,0,1,1,1,0,0,0,0,,,48h+,Promoter (51 to 100),
1534,Finance,AI,North America,1000,165085.94,72209.8,24,119.9,784.04,0.37,6,100,0.0,,,27.46,86,1,0.2,satisfied,0.0,31,0,0,0,0,0,1,0,0,0,0,0,0.06,"(0.0, 0.2]",24-48h,Promoter (51 to 100),0-3 months
1535,Retail,,Europe,200,,77108.99,36,112.57,630.04,0.19,6,50,1.0,3,,,-50,1,0.1,renewal likely,0.0,1540,0,0,1,0,0,1,0,0,0,0,0,0.12,"(0.0, 0.2]",,Detractor (-100 to 0),3-5 years
1536,Finance,Infra,Europe,5000,23805.51,41296.85,36,,528.67,,12,100,0.0,3,,65.08,19,,0.1,neutral,0.0,425,0,0,0,0,0,1,0,1,0,0,0,0.12,"(0.0, 0.2]",48h+,Passive (1 to 50),12-18 months
1537,,Infra,,10000,17273.07,,12,138.41,148.45,6.88,,,,3,0.0,,2,1,,,0.0,1651,1,1,1,1,0,0,1,0,0,0,0,,,,Passive (1 to 50),3-5 years
1538,Manufacturing,E-commerce,,1000,87176.21,87112.73,12,55.97,473.92,7.06,4,20,1.0,5,,,,1,0.05,,0.0,1304,0,0,1,0,0,1,0,0,0,1,0,0.2,"(0.0, 0.2]",,,3-5 years
1539,Healthcare,,North America,5000,208349.92,72079.38,,175.78,703.91,12.96,9,20,0.0,5,0.0,22.83,-49,1,,,0.0,169,1,0,0,0,0,0,0,0,0,0,1,0.45,"(0.4, 0.6]",12-24h,Detractor (-100 to 0),3-6 months
1540,Technology,Cybersecurity,North America,1000,83897.23,85820.46,36,106.73,698.99,6.65,3,50,0.0,,0.0,82.23,18,0,0.05,neutral,0.0,178,0,0,0,0,0,0,0,0,0,0,0,0.06,"(0.0, 0.2]",48h+,Passive (1 to 50),3-6 months
1541,Healthcare,,North America,500,244422.69,31077.52,,277.0,518.73,4.67,7,20,1.0,3,1.0,42.63,-68,0,0.2,,0.0,2753,0,0,0,0,0,0,0,0,0,0,1,0.35,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),5-10 years
1542,Energy,,North America,500,,140717.06,,274.84,730.37,8.52,7,5,2.0,4,1.0,64.29,-75,0,0.05,integration problem,0.0,1466,0,0,0,0,0,0,0,0,0,0,1,1.4,,48h+,Detractor (-100 to 0),3-5 years
1543,Energy,None,,500,,73764.96,48,173.45,433.84,10.57,10,,,,1.0,,-6,0,0.2,executive sponsor left,0.0,,0,1,1,0,1,0,1,0,0,0,0,,,,Detractor (-100 to 0),
1544,Retail,,Europe,500,201563.35,155624.58,48,100.75,586.02,8.93,5,5,0.0,5,0.0,17.77,24,0,0.05,,0.0,1648,0,0,0,0,0,0,0,0,0,0,0,1.0,"(0.8, 1.0]",12-24h,Passive (1 to 50),3-5 years
1545,,E-commerce,Middle East,10000,178377.77,10436.85,48,166.06,,12.97,5,5,0.0,0,1.0,75.36,99,1,0.05,satisfied,0.0,318,0,0,0,0,0,0,0,0,1,0,0,1.0,"(0.8, 1.0]",48h+,Promoter (51 to 100),6-12 months
1546,Healthcare,,Latam,10000,27666.03,17734.67,36,47.66,790.9,13.44,4,20,2.0,4,0.0,5.74,26,2,0.2,renewal likely,0.0,2087,0,0,0,0,0,0,0,0,0,0,0,0.2,"(0.0, 0.2]",<6h,Passive (1 to 50),5-10 years
1547,Technology,AI,Apac,500,36382.93,180689.79,48,,519.26,0.75,4,100,2.0,,0.0,,-70,1,0.1,needs training,0.0,490,0,0,1,0,0,0,0,1,0,0,0,0.04,"(0.0, 0.2]",,Detractor (-100 to 0),12-18 months
1548,Energy,,,10000,12442.17,-16359.27,12,169.97,694.43,6.09,11,,5.0,6,1.0,46.78,-14,4,,low usage,0.0,2168,1,1,0,0,0,0,0,0,0,0,0,,,24-48h,Detractor (-100 to 0),5-10 years
1549,,Infra,North America,1000,90391.28,70871.09,,214.02,755.86,1.65,4,100,0.0,5,1.0,86.9,99,,0.2,,0.0,422,0,0,0,0,0,0,0,0,0,0,1,0.04,"(0.0, 0.2]",48h+,Promoter (51 to 100),12-18 months
1550,Technology,Payments,North America,,31970.13,4299.47,48,147.12,703.09,12.87,6,5,0.0,1,1.0,42.79,,,0.05,neutral,0.0,,0,0,0,0,1,0,0,0,0,1,0,1.2,,24-48h,,
1551,Saas,,,,956841.73,69492.14,36,110.51,,5.25,12,100,3.0,1,,42.91,-26,1,0.1,bad experince,0.0,744,0,0,0,0,0,1,0,0,1,0,0,0.12,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),2-3 years
1552,Manufacturing,Cloud,North America,,284163.23,62846.74,24,87.08,584.4,3.87,5,20,,3,1.0,,24,1,0.1,neutral,0.0,1468,0,0,1,0,0,0,1,0,0,0,0,0.25,"(0.2, 0.4]",,Passive (1 to 50),3-5 years
1553,Finance,,Middle East,,26224.65,,48,146.0,540.31,,,,0.0,,,39.03,90,4,0.2,pricing issue,0.0,243,0,1,0,1,0,1,0,0,0,0,0,,,24-48h,Promoter (51 to 100),6-12 months
1554,Healthcare,Cloud,North America,5000,32897.46,,36,217.53,443.87,2.43,,,1.0,,0.0,48.6,-66,1,,neutral,0.0,,1,1,0,1,1,0,0,0,0,0,0,,,48h+,Detractor (-100 to 0),
1555,Technology,,Latam,1000,,84074.56,12,34.56,236.6,39.6,13,,3.0,4,1.0,,-14,3,0.0,satisfied,0.0,3754,0,1,1,0,0,0,0,0,0,0,0,,,,Detractor (-100 to 0),10+ years
1556,Technology,AI,Apac,200,227625.17,25216.66,,30.63,464.7,0.58,4,20,5.0,,0.0,56.64,-26,1,0.15,,0.0,,0,0,0,0,1,0,0,0,0,0,1,0.2,"(0.0, 0.2]",48h+,Detractor (-100 to 0),
1557,Healthcare,E-commerce,Europe,1000,67369.95,83770.06,36,130.18,,7.18,11,50,5.0,3,0.0,50.44,-93,1,0.2,executive sponsor left,0.0,,0,0,0,0,1,0,0,0,1,0,0,0.22,"(0.2, 0.4]",48h+,Detractor (-100 to 0),
1558,,,North America,50,45836.94,,48,159.32,288.37,4.87,5,,1.0,2,1.0,88.9,-34,2,0.2,pricing issue,0.0,1294,0,1,0,1,0,0,0,0,0,0,0,,,48h+,Detractor (-100 to 0),3-5 years
1559,,,Middle East,5000,7565.07,97756.26,36,2.14,791.02,11.06,6,20,3.0,3,1.0,,-6,1,0.05,bad experince,0.0,723,0,0,1,0,0,0,0,0,0,0,0,0.3,"(0.2, 0.4]",,Detractor (-100 to 0),18-24 months
1560,Technology,E-commerce,Middle East,,59567.3,,36,120.9,53.28,0.67,8,10,0.0,5,0.0,44.78,39,1,,,0.0,369,1,0,0,1,0,0,0,0,0,0,0,0.8,"(0.6, 0.8]",24-48h,Passive (1 to 50),12-18 months
1561,,Data,Apac,5000,46394.1,,12,27.83,477.13,8.88,4,10,,3,1.0,9.95,-93,,0.2,neutral,1.0,1595,0,0,0,1,0,0,1,0,0,0,0,0.4,"(0.2, 0.4]",6-12h,Detractor (-100 to 0),3-5 years
1562,Energy,,Apac,200,44025.04,,48,53.61,,34.67,5,10,1.0,3,0.0,67.72,86,2,0.1,pricing issue,0.0,2126,0,0,0,1,0,0,0,0,1,0,0,0.5,"(0.4, 0.6]",48h+,Promoter (51 to 100),5-10 years
1563,Healthcare,Cloud,,50,172486.98,35850.08,12,113.08,380.64,14.28,4,5,2.0,,,25.5,-3,2,,,0.0,,1,0,0,0,1,1,0,0,0,0,0,0.8,"(0.6, 0.8]",24-48h,Detractor (-100 to 0),
1564,Finance,E-commerce,North America,10000,6369.6,68911.51,,116.33,,16.54,7,5,2.0,5,0.0,,45,2,0.2,,0.0,611,0,0,1,0,0,0,0,0,1,0,1,1.4,,,Passive (1 to 50),18-24 months
1565,Retail,AI,North America,10000,258071.76,16589.4,36,105.9,506.94,0.9,11,50,1.0,5,,,-37,4,,executive sponsor left,0.0,,1,0,1,0,1,1,0,0,0,0,0,0.22,"(0.2, 0.4]",,Detractor (-100 to 0),
1566,Finance,,,500,19735.91,128308.13,48,166.83,144.26,40.09,6,20,2.0,3,0.0,39.02,100,,0.2,pricing issue,0.0,3055,0,0,0,0,0,0,0,0,0,0,0,0.3,"(0.2, 0.4]",24-48h,Promoter (51 to 100),5-10 years
1567,Healthcare,Cybersecurity,North America,5000,36215.99,,12,141.98,541.0,13.62,4,20,,,0.0,,-96,0,0.05,,0.0,,0,0,1,1,1,0,1,0,0,0,0,0.2,"(0.0, 0.2]",,Detractor (-100 to 0),
1568,,,,5000,,71283.56,36,199.29,359.81,4.18,6,5,,8,2.0,,23,0,,executive sponsor left,0.0,2327,1,0,1,0,0,0,1,0,0,0,0,1.2,,,Passive (1 to 50),5-10 years
1569,Healthcare,Data,Latam,1000,431619.85,84240.29,36,212.86,446.12,4.47,3,5,4.0,,2.0,53.82,70,1,0.0,,0.0,273,0,0,0,0,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",48h+,Promoter (51 to 100),6-12 months
1570,Saas,,Apac,,172765.78,,12,160.86,673.93,14.72,8,50,0.0,4,0.0,46.73,1,0,,executive sponsor left,0.0,,1,0,0,1,1,0,0,0,0,0,0,0.16,"(0.0, 0.2]",24-48h,Passive (1 to 50),
1571,Healthcare,Payments,Latam,,157425.39,94846.54,,200.72,518.66,8.53,11,,,1,,,-94,0,,,0.0,127,1,1,1,0,0,1,1,0,0,0,1,,,,Detractor (-100 to 0),3-6 months
1572,Retail,E-commerce,North America,,314412.74,111671.5,12,79.09,488.81,2.9,6,100,3.0,3,0.0,11.36,95,2,0.15,satisfied,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.06,"(0.0, 0.2]",6-12h,Promoter (51 to 100),
1573,Technology,,Europe,10000,33519.49,,48,129.62,,,12,20,1.0,,2.0,45.21,46,0,,low usage,0.0,379,1,0,0,1,0,0,0,0,1,0,0,0.6,"(0.4, 0.6]",24-48h,Passive (1 to 50),12-18 months
1574,Finance,Data,Latam,500,17157.91,63829.16,48,148.77,392.99,19.35,5,5,1.0,2,0.0,74.38,-38,2,0.05,bad experince,0.0,,0,0,0,0,1,0,0,0,0,0,0,1.0,"(0.8, 1.0]",48h+,Detractor (-100 to 0),
1575,Technology,AI,Apac,500,78664.32,114636.26,,135.87,585.16,10.56,,100,1.0,6,1.0,103.51,,2,,neutral,0.0,2481,1,0,0,0,0,0,0,0,0,1,1,,,,,5-10 years
1576,Retail,Data,Europe,,131709.24,139411.29,12,112.9,605.11,7.2,4,100,3.0,1,0.0,42.75,3,1,0.2,neutral,0.0,616,0,0,0,0,0,0,0,0,0,0,0,0.04,"(0.0, 0.2]",24-48h,Passive (1 to 50),18-24 months
1577,Retail,,Latam,10000,16450.43,,12,,856.52,0.97,7,20,1.0,8,2.0,,12,0,,bad experince,0.0,158,1,0,1,1,0,0,0,1,0,0,0,0.35,"(0.2, 0.4]",,Passive (1 to 50),3-6 months
1578,Technology,Infra,Middle East,,1282698.9,97812.77,12,,521.42,36.54,8,,1.0,6,2.0,19.78,84,2,0.1,pricing issue,0.0,971,0,1,0,0,0,0,0,1,0,0,0,,,12-24h,Promoter (51 to 100),2-3 years
1579,Manufacturing,Infra,Middle East,,102167.93,,,76.44,319.53,2.23,8,,5.0,4,1.0,42.59,6,2,0.05,pricing issue,0.0,381,0,1,0,1,0,0,0,0,0,0,1,,,24-48h,Passive (1 to 50),12-18 months
1580,,Data,North America,10000,9247.69,72708.35,,84.48,514.19,7.8,7,50,0.0,2,,59.84,,0,0.15,satisfied,0.0,1886,0,0,0,0,0,1,0,0,0,1,1,0.14,"(0.0, 0.2]",48h+,,5-10 years
1581,Manufacturing,Data,Middle East,,,139516.52,12,1.76,526.6,28.0,5,,,5,,,-80,0,0.1,integration problem,1.0,,0,1,1,0,1,1,1,0,0,0,0,,,,Detractor (-100 to 0),
1582,Manufacturing,Infra,Middle East,1000,122600.03,48541.09,12,112.16,408.04,25.44,8,,,3,0.0,,27,1,0.05,pricing issue,0.0,243,0,1,1,0,0,0,1,0,0,0,0,,,,Passive (1 to 50),6-12 months
1583,Energy,,,5000,12733.22,,12,166.75,161.93,0.05,2,100,1.0,4,1.0,83.77,-44,0,,,0.0,365,1,0,0,1,0,0,0,0,0,0,0,0.02,"(0.0, 0.2]",48h+,Detractor (-100 to 0),6-12 months
1584,Energy,AI,Europe,5000,157008.17,,12,71.04,383.15,2.34,7,100,,,0.0,,,1,0.1,integration problem,0.0,1788,0,0,1,1,0,0,1,0,0,1,0,0.07,"(0.0, 0.2]",,,3-5 years
1585,Finance,,North America,500,32633.44,109374.58,36,,279.68,19.12,5,,,1,1.0,27.22,-88,,0.1,pricing issue,0.0,483,0,1,0,0,0,0,1,1,0,0,0,,,24-48h,Detractor (-100 to 0),12-18 months
1586,Healthcare,,North America,1000,33566.46,95809.99,,70.36,254.73,4.34,9,20,3.0,,,22.34,-90,0,0.0,bad experince,0.0,,0,0,0,0,1,1,0,0,0,0,1,0.45,"(0.4, 0.6]",12-24h,Detractor (-100 to 0),
