client_id,industry,region,sub_industry,revenue,tenure_months,employee_count,account_tier,monthly_logins_3m,monthly_logins_12m,downloads_3m,downloads_12m,inquiries_3m,inquiries_12m,webinar_attendance_12m,analyst_calls_12m,portal_time_spent_3m,portal_time_spent_12m,report_views_3m,report_views_12m,benchmarking_participation,active_users_count,feature_adoption_score,tickets_raised_12m,avg_ticket_resolution_time,ticket_satisfaction_score,escalations_12m,onboarding_score,renewal_meetings_attended,nps_score,satisfaction_score,relationship_strength,decision_maker_engagement,churn_flag
C1203,BFSI,APAC,SubIndustry_6,595.6819367,123,47550,Silver,17,3,34,20,0,6,1,1,115.1329273,719.4085056,0,6,N,19,79.23663784,2,54.58987919,,0,0.870185616,20,38,4,4,,0
C1204,Retail,LATAM,SubIndustry_14,405.6714843,34,,Gold,8,34,,36,0,3,1,4,198.328537,588.733697,1,7,1,19,65.49067381,1,50.45185997,2,0,0.203155376,4,-53,2,2,2,0
C1205,Technology,LATAM,SubIndustry_21,544.0219648,121,35604,Silver,25,13,17,5,0,,3,2,96.00412601,572.222378,1,5,N,12,31.48616787,2,46.62607401,3,0,0.544468799,1,-52,5,2,0,1
C1206,Manufacturing,APAC,SubIndustry_18,747.2636359,78,19824,Silver,0,49,44,21,1,4,0,2,96.43459466,815.5448441,1,,Y,24,73.33674554,3,40.74292694,,0,,3,-31,,4,0,1
C1207,,NA,SubIndustry_13,565.6417937,123,39763,Gold,0,13,6,10,1,3,0,2,242.325502,608.6634073,2,3,0,41,70.4165953,3,20.86745716,4,,0.500915477,4,-60,3,3,2,1
C1208,BFSI,NA,SubIndustry_29,250.3450488,20,2809,Silver,26,24,12,,0,7,2,1,66.17410313,729.6551905,2,7,N,25,28.64084642,5,57.67172711,2,,0.428012083,5,37,5,5,1,0
C1209,,NA,SubIndustry_15,,17,12131,Gold,4,25,26,34,0,7,,3,166.4823714,415.330604,0,9,yes,21,37.90465775,2,33.58267827,3,0,0.835623532,3,30,8,4,2,0
C1210,Retail,NA,SubIndustry_13,741.8559078,34,7869,Silver,31,13,16,42,0,5,2,3,145.4590481,580.6311951,2,5,Y,14,58.3393694,2,62.11723575,4,0,0.997595429,10,35,3,3,0,0
,Retail,APAC,SubIndustry_28,564.9486641,99,28359,Gold,8,,,40,,,2,5,204.0624818,,3,8,Y,33,84.10894434,6,60.90429666,1,0,0.775965657,10,,2,5,2,0
C1212,BFSI,EMEA,SubIndustry_28,523.8124156,162,46220,Silver,28,,34,6,2,5,1,5,74.11953295,394.2225176,0,9,,41,86.64462149,,55.37694104,4,0,0.183805653,1,,5,4,0,0
C1213,Technology,NA,SubIndustry_24,389.1968934,147,9963,Silver,0,29,2,31,0,3,3,1,,682.3358489,1,5,no,17,78.76316528,3,50.42070052,3,0,0.485051319,5,37,1,4,2,1
C1214,Manufacturing,APAC,SubIndustry_19,737.7198361,,35971,Gold,12,12,12,7,0,,,3,91.8311304,613.3076472,0,11,1,26,83.67005877,3,40.26988268,4,1,,5,4,,1,0,0
C1215,BFSI,NA,SubIndustry_1,832.4825196,114,28740,Silver,31,13,44,31,0,4,1,7,146.282785,555.3907293,3,5,no,20,15.29255459,3,25.65047466,3,0,0.729662679,10,-99,7,4,0,1
C1216,BFSI,EMEA,SubIndustry_8,752.6378246,97,46508,Silver,16,6,23,3,0,1,1,2,,510.9417491,1,3,Y,28,28.19022893,8,50.22957158,2,0,0.496128238,2,66,,,2,0
C1217,Manufacturing,EMEA,SubIndustry_2,788.5183243,126,45750,Gold,,27,18,24,1,5,1,3,179.7798773,659.8139112,1,4,,35,,4,84.88331045,5,0,0.664888065,0,,,3,1,0
C1218,Manufacturing,EMEA,SubIndustry_5,428.2587518,120,35649,Silver,26,5,13,6,0,1,5,2,138.7035872,456.7225816,1,5,N,40,19.83331132,5,,3,1,0.925302457,3,94,3,4,1,0
,BFSI,,SubIndustry_4,399.9661805,66,22946,Bronze,18,21,31,35,3,3,2,1,132.7536316,662.7217688,4,,no,6,27.83264064,3,40.22596415,5,,0.880362706,3,66,3,4,2,0
C1220,Pharma,NA,SubIndustry_13,468.7309653,72,42714,Silver,36,21,7,5,0,2,2,,237.3632105,634.6468994,0,8,N,21,20.12339986,2,38.92324486,1,0,0.591977089,0,-15,7,,,0
C1221,BFSI,,SubIndustry_28,507.7146484,93,8699,,3,3,33,26,1,1,3,,187.9027785,389.2086269,1,3,no,4,13.26588092,4,56.89470597,4,0,0.894290543,5,96,2,1,0,1
C1222,Retail,APAC,,786.203956,170,7581,Silver,42,27,12,29,1,4,2,1,142.2714678,596.508275,2,6,no,9,16.85207897,3,34.75350254,1,1,0.218280594,20,,10,5,0,0
C1223,Pharma,LATAM,SubIndustry_17,733.1773479,51,21746,Gold,30,14,7,11,2,3,2,,46.85739951,633.4772651,1,6,no,15,33.8622426,2,49.36226714,3,0,0.825481988,3,-56,10,3,1,1
C1224,Retail,EMEA,SubIndustry_16,607.6938775,177,23879,Gold,15,20,2,13,0,,2,1,235.1986849,959.8812228,3,2,0,47,59.34790956,4,34.55767288,2,,0.301722655,2,-53,2,2,2,1
C1225,Manufacturing,EMEA,SubIndustry_8,213.7626468,124,,Gold,26,18,18,24,0,2,1,3,133.6502126,724.0677512,0,,no,25,58.1929833,6,55.94556339,,0,,10,-15,7,4,2,0
C1226,Retail,APAC,SubIndustry_18,162.3956311,157,,,7,12,20,33,0,1,1,1,204.5452423,822.5277447,,5,yes,10,49.76298551,2,24.90767136,4,1,0.428241204,4,2,3,5,0,0
C1227,BFSI,LATAM,SubIndustry_22,548.092549,95,44325,Gold,8,15,6,44,2,7,0,3,232.4014707,674.9192995,,6,1,7,,3,36.38587909,2,0,0.776791531,0,,7,1,0,0
C1228,Pharma,NA,SubIndustry_24,676.0526411,30,1658,Gold,12,28,9,,0,3,3,5,240.5244807,851.6622425,4,2,N,,75.27303301,2,37.25119152,,0,0.704294174,4,-100,6,4,1,1
C1229,,EMEA,SubIndustry_8,484.0865902,99,,Gold,25,36,10,36,0,4,3,1,176.703073,9.750293241,2,10,Y,49,65.56334408,3,43.16175705,2,0,0.26230818,,81,6,2,1,0
C1230,Technology,APAC,SubIndustry_27,882.980901,153,39606,Gold,19,32,14,27,,,3,4,4.363258548,,1,3,N,29,74.55823645,1,52.43861451,4,1,0.49462504,10,,9,,1,0
C1231,BFSI,EMEA,SubIndustry_15,283.5117912,111,49828,Silver,15,35,57,,0,5,1,5,100.7422339,669.0318202,1,12,no,38,35.87463181,4,33.8855009,3,0,0.746367141,10,56,10,1,0,0
C1232,BFSI,NA,SubIndustry_25,258.3296101,113,32127,Gold,12,2,12,27,0,,0,3,97.33892388,773.9550158,,6,yes,31,64.62342326,2,88.5073563,4,1,0.287865152,0,65,5,4,2,0
C1233,BFSI,EMEA,SubIndustry_5,367.1438051,38,29913,Gold,17,7,25,20,0,4,3,,230.3983691,343.2401052,1,8,yes,,36.85539255,,57.33193152,4,0,0.514098511,0,-59,,1,2,0
,Manufacturing,NA,SubIndustry_7,359.5405574,17,,Gold,19,4,25,27,0,4,1,2,157.7718071,531.4313586,0,6,N,11,78.60236762,10,57.0299958,5,0,0.794989416,20,95,7,3,0,0
C1235,Retail,,SubIndustry_24,605.2571737,74,,Bronze,,3,13,14,1,4,1,6,57.68090615,615.5432184,0,4,1,30,42.32075995,1,91.81222604,2,0,0.203190469,1,-4,9,4,0,0
C1236,Technology,EMEA,SubIndustry_2,415.6576296,129,2194,Silver,25,13,22,42,3,2,3,2,114.5858269,309.6843944,,3,0,16,63.06857609,3,,2,0,0.805800333,1,66,3,1,0,0
C1237,Retail,APAC,SubIndustry_21,190.4319077,18,949,Silver,26,1,8,49,1,5,4,,244.6808777,466.0772112,2,8,yes,28,77.61779667,2,49.49786583,4,0,0.641128817,3,73,2,5,0,0
C1238,Pharma,EMEA,SubIndustry_4,678.3156913,174,,Gold,42,15,9,1,0,2,3,5,,653.6644135,1,8,1,18,26.63695908,0,20.8535753,,0,0.663411427,10,-42,3,1,1,0
C1239,BFSI,NA,SubIndustry_6,148.0096148,147,747,Gold,27,,28,34,0,6,1,5,123.4676121,362.1294314,3,3,no,2,32.06854574,3,,2,0,0.712677149,3,-100,5,4,2,1
C1240,Technology,NA,SubIndustry_22,285.7563554,125,43940,Bronze,21,39,16,,0,1,1,6,83.29595128,689.2768801,2,8,0,2,74.69888617,5,53.73265289,3,0,0.145821927,20,67,9,5,0,0
C1241,Technology,,SubIndustry_24,175.4586859,50,20489,Silver,31,17,13,22,,6,2,2,199.3891278,725.7816127,7,6,N,6,9.329245362,4,58.79287832,3,1,0.536230802,20,-10,7,1,2,0
C1242,Technology,NA,SubIndustry_0,541.4242554,120,40049,,17,45,24,9,,4,7,,172.4427834,684.928543,1,6,Y,22,70.75344801,0,,2,0,0.50281439,5,53,5,4,0,0
C1243,Technology,EMEA,SubIndustry_21,537.2095424,96,28817,Gold,20,43,16,,1,8,4,,176.3118552,408.1413398,3,5,N,,85.08056087,2,55.08677616,2,,0.19306239,1,-63,2,1,2,1
C1244,Technology,NA,SubIndustry_20,883.2908642,54,44627,Gold,39,16,37,9,1,7,1,,14.86944772,705.2207572,2,2,,45,34.66993171,,42.1870534,2,1,0.346254036,2,-3,,4,0,0
C1245,Manufacturing,APAC,SubIndustry_3,682.7653312,31,36234,Gold,22,18,21,42,2,5,2,1,106.8787098,1169.511564,0,4,N,30,,2,60.9750995,2,0,0.742076553,,-88,4,3,2,1
C1246,BFSI,EMEA,SubIndustry_25,788.3292367,97,11292,Silver,,31,22,19,0,7,2,3,121.1922102,1103.915304,1,5,N,44,90.59396533,5,53.27093079,2,,0.394390319,5,1,3,,1,0
C1247,BFSI,NA,SubIndustry_27,557.7219303,46,35307,Bronze,38,1,25,24,,5,0,3,141.9468197,790.9528799,1,4,no,19,10.1804613,6,60.36304441,2,0,0.584759438,1,97,3,2,2,0
C1248,Pharma,,SubIndustry_15,304.6136358,35,6644,Bronze,46,32,6,32,1,4,3,1,75.64458229,,,7,1,44,89.49175328,6,,5,1,0.609658164,10,-74,2,3,1,0
C1249,,APAC,SubIndustry_26,525.6215204,49,47032,Silver,6,42,27,17,1,4,0,0,124.0598106,108.7001468,2,10,0,41,14.13025262,3,,3,0,0.37991412,5,-2,4,4,1,1
C1250,Technology,EMEA,SubIndustry_13,618.4842015,81,6427,Silver,4,7,45,10,0,5,2,4,108.0288402,540.8697718,2,9,1,12,16.12939989,5,66.64352133,3,0,0.579080919,3,5,2,2,0,0
C1251,Retail,APAC,SubIndustry_0,640.7614765,162,17226,Gold,3,21,8,32,0,3,0,4,90.53677513,991.6604087,0,4,Y,5,45.03185518,2,,3,0,0.519126426,1,-92,3,3,0,1
C1252,BFSI,,SubIndustry_3,405.5175712,29,26701,Gold,5,11,5,24,1,4,3,3,82.20408757,764.0523969,2,9,,49,,4,43.81543981,1,0,0.297057109,20,,10,3,1,0
C1253,BFSI,LATAM,SubIndustry_9,597.7572948,134,,Silver,,35,25,16,1,3,2,1,130.6734139,240.8242458,0,7,0,43,93.25300261,6,34.06045793,,,0.650765088,20,-65,4,2,2,1
C1254,Manufacturing,NA,SubIndustry_10,313.3944058,1,40323,Silver,37,45,15,11,1,,5,0,82.01633421,,0,9,N,33,,6,35.16468809,4,0,0.658991081,1,-78,9,3,2,1
C1255,Retail,LATAM,SubIndustry_6,,27,8983,Silver,11,,18,13,,4,3,0,128.8203447,720.0256887,0,3,0,45,45.04519505,0,30.43207477,1,0,0.954031888,1,-31,2,2,0,1
C1256,BFSI,NA,SubIndustry_3,276.8430577,140,18467,Gold,21,21,23,40,1,6,0,1,165.2764125,699.0323115,2,7,0,,77.64752662,0,13.58633744,4,0,0.306313211,10,70,3,1,0,0
C1257,Retail,NA,SubIndustry_0,504.9251977,4,34263,Silver,7,25,1,35,0,3,,3,9.758158582,529.5829108,2,5,yes,35,,3,,2,0,0.078237279,5,12,9,4,2,0
C1258,BFSI,APAC,SubIndustry_25,,80,35727,Silver,1,,8,49,0,1,2,0,141.97498,,1,7,1,43,32.30584878,2,44.34628747,3,,0.587139312,3,68,1,1,2,1
C1259,Retail,NA,SubIndustry_0,415.051122,128,,Silver,13,10,24,40,0,5,1,3,103.2453071,629.9931291,0,,,37,13.64863407,0,53.46899321,3,0,0.333144438,2,-70,6,4,0,0
C1260,BFSI,NA,SubIndustry_16,,11,25249,Bronze,6,12,11,34,,1,3,2,105.6999391,642.6491727,1,8,no,34,4.159587599,,38.48896221,4,0,0.609266996,2,,8,,1,0
C1261,Technology,NA,SubIndustry_26,294.1740644,52,6492,Silver,31,42,1,25,1,4,1,4,109.0703397,803.5278037,1,10,no,,84.61049015,1,40.21727322,,0,0.872231211,,-75,5,2,0,1
C1262,BFSI,EMEA,SubIndustry_9,399.1375933,84,9290,Gold,11,3,12,9,3,4,2,4,186.0657091,,,5,,18,32.86243367,3,,4,0,0.648352793,4,-93,2,2,2,0
C1263,,EMEA,SubIndustry_4,514.3262554,154,655,Silver,6,21,23,30,1,2,1,5,141.9204196,725.7695958,1,3,1,16,79.88666663,4,84.81180702,4,0,0.431072177,3,-52,,4,0,0
C1264,BFSI,APAC,SubIndustry_6,549.3773803,,,Silver,47,,44,20,1,4,0,0,241.3041731,761.5021437,2,7,,2,91.82232805,1,65.35032931,3,0,0.722721229,20,26,8,5,2,0
C1265,BFSI,APAC,SubIndustry_24,400.1418818,72,5790,Silver,25,14,14,41,0,5,1,4,151.9002157,,1,5,N,41,43.32015178,2,39.09472579,4,0,0.170734392,4,-11,7,3,,0
C1266,Retail,,,657.3720137,104,49479,Bronze,38,45,22,21,1,3,3,3,26.47141292,743.3913962,1,3,,14,55.36140277,,71.53267388,2,,0.035905856,1,84,6,3,0,0
C1267,Retail,NA,SubIndustry_1,618.0904602,90,18491,Gold,9,20,3,20,1,3,1,6,185.8856317,644.8020278,2,4,Y,35,86.55349529,1,14.26673757,2,0,0.446610812,4,66,1,3,2,0
C1268,Manufacturing,LATAM,SubIndustry_8,727.9713209,155,32139,Gold,,42,11,6,2,2,2,3,71.12935778,1043.577979,0,,Y,8,,3,78.57580673,1,0,0.758803553,0,29,2,5,,0
C1269,BFSI,NA,SubIndustry_3,483.6796151,97,33982,Silver,28,41,3,39,1,,2,7,86.46293641,499.7054604,,5,no,,95.8131511,5,41.69338555,2,0,,1,77,2,3,1,0
C1270,Manufacturing,NA,SubIndustry_11,397.4362381,125,44891,Gold,1,36,17,7,3,,3,1,124.191786,531.8407609,2,4,Y,,70.04500298,3,,3,1,,4,-21,9,3,0,1
C1271,Technology,NA,,,71,28749,Gold,20,1,29,29,,5,4,4,186.1873441,,1,8,,19,81.37328793,4,59.36361154,4,0,0.683489719,0,36,6,4,0,0
,Technology,EMEA,SubIndustry_10,561.4055036,54,3221,Bronze,,19,9,40,1,4,2,,139.3248174,231.9946974,2,3,Y,44,19.50919754,,75.95651449,1,1,,0,-30,8,,0,0
,BFSI,,,424.5688434,46,5356,Gold,16,37,18,20,0,3,0,,214.7074851,870.4440999,2,9,Y,33,37.78300889,1,53.68299069,,,0.112984229,5,-12,,3,2,0
C1274,Retail,NA,SubIndustry_11,386.1660445,164,16188,Gold,8,38,25,24,1,3,3,1,100.8026885,734.8599518,2,,no,2,93.18967552,2,49.58026809,4,1,,0,93,10,5,,0
C1275,BFSI,NA,SubIndustry_26,410.3425472,128,6586,Gold,26,22,13,,0,2,3,1,69.51344865,177.1357941,3,6,Y,34,48.55097708,5,24.39031851,2,0,0.914768334,20,95,4,1,0,0
C1276,BFSI,,SubIndustry_20,363.261903,149,13186,Gold,,,31,0,2,3,4,0,140.7199675,,,4,1,49,80.53494104,,63.24562561,3,0,0.497135659,1,,4,3,2,0
,Pharma,EMEA,,539.8042226,177,48488,Gold,38,,,2,2,4,0,2,113.3197834,562.6167597,1,4,1,25,5.840922166,4,61.2203236,3,0,0.004684098,2,-66,1,2,0,0
C1278,BFSI,APAC,SubIndustry_12,217.4833635,34,33078,Silver,16,17,29,33,,,1,4,,401.4865228,1,7,Y,41,88.07092693,4,34.72846186,2,2,0.152365166,10,-14,,4,2,0
C1279,Retail,APAC,SubIndustry_21,560.6032585,,31862,,22,8,,,2,6,,2,215.485966,557.5799684,4,7,N,,95.87424105,3,,3,1,0.972611468,3,-83,8,1,1,1
C1280,Manufacturing,NA,SubIndustry_0,635.3097521,,28759,,26,46,37,33,1,2,1,,,948.4090837,2,11,Y,49,45.32570722,2,,1,0,0.948659575,4,19,4,3,0,0
C1281,Manufacturing,NA,SubIndustry_17,383.8241724,162,49168,Gold,14,1,23,1,1,6,1,2,76.411223,830.4383075,3,7,1,7,15.39622954,5,43.47170712,,0,0.732710132,2,-31,,4,0,0
C1282,,,SubIndustry_3,884.4073879,168,5235,Gold,38,24,,18,0,7,2,4,208.8996587,528.9512931,1,4,N,7,88.82405223,2,65.36250745,1,0,0.859859273,1,-23,10,3,2,1
C1283,BFSI,NA,,503.5242622,135,20996,,33,31,38,10,1,1,5,3,,813.3095476,1,5,yes,18,49.98557348,5,4.456781963,1,0,0.104547944,,84,1,4,1,0
C1284,BFSI,APAC,SubIndustry_7,187.7314034,90,22641,Gold,25,10,5,15,0,0,,5,64.56671129,640.7602004,1,6,yes,21,85.50205681,2,24.48396473,3,0,0.355526511,10,-32,6,5,1,0
C1285,Retail,NA,SubIndustry_24,443.7514187,52,19228,Silver,12,13,22,39,1,4,0,5,37.37820511,568.1481873,1,5,yes,39,72.8358854,4,85.2427738,3,0,0.468713327,10,-83,9,,2,0
C1286,BFSI,LATAM,SubIndustry_27,512.531229,49,,Bronze,2,14,19,11,1,,4,2,81.76001727,603.1720219,2,2,no,16,69.33963687,4,77.87015488,5,0,0.272389569,1,63,4,5,,1
C1287,Retail,NA,SubIndustry_19,589.7935111,119,9445,Gold,,19,41,43,1,5,2,4,,838.5853266,1,7,N,,11.84588585,5,33.23462697,1,0,0.550567558,2,-55,4,1,1,1
C1288,BFSI,EMEA,SubIndustry_5,,81,15063,Bronze,18,28,,26,0,4,4,2,50.35421011,694.411152,0,10,1,38,68.14765482,3,28.84812594,4,0,0.467470523,1,77,,,1,0
C1289,BFSI,,SubIndustry_3,297.6859449,95,7038,Gold,7,,,2,1,5,5,,153.4465527,213.7139946,1,8,Y,20,99.23361696,4,32.71964521,2,0,0.02298507,20,,3,,0,0
,Retail,EMEA,SubIndustry_3,281.0038764,89,28234,Gold,15,4,20,31,1,3,4,,123.800063,,3,3,Y,21,36.35507532,3,85.60517983,4,0,0.780014623,4,14,4,3,,0
C1291,BFSI,NA,SubIndustry_27,,37,24929,Silver,1,40,10,11,0,2,2,4,96.84321552,673.1869458,0,5,yes,19,14.58927929,1,41.60672771,1,0,,20,,3,4,0,0
C1292,Retail,EMEA,SubIndustry_10,388.4449275,143,17530,Gold,44,18,,16,0,4,2,3,,531.2378534,0,5,Y,34,30.61741781,2,37.60717736,4,0,0.367322857,,-83,10,1,0,0
C1293,Manufacturing,,SubIndustry_27,273.005167,2,12270,Gold,34,15,15,41,1,9,1,4,88.95609785,427.3075553,1,4,yes,47,78.01340781,2,27.12909025,,1,0.415407813,4,-9,1,1,2,0
C1294,Technology,NA,SubIndustry_8,353.4373678,139,11860,Gold,0,2,8,1,2,3,0,4,186.8936137,470.8885393,0,9,N,3,11.63525115,4,48.46019222,5,0,0.683405078,2,,2,5,,1
,BFSI,NA,SubIndustry_13,631.8917049,96,33984,Silver,23,14,,18,2,7,3,2,23.61108531,318.409709,1,4,0,19,14.71209758,3,8.331254952,2,0,0.099171612,0,-17,8,4,0,0
C1296,BFSI,EMEA,SubIndustry_3,829.6825215,,37127,Silver,9,9,34,31,0,5,2,3,39.44330004,893.2401878,1,6,1,41,72.79415621,3,52.27576117,1,0,0.679151754,2,-36,4,3,2,0
C1297,BFSI,NA,SubIndustry_12,651.0923428,173,24318,Gold,15,2,24,8,2,7,,3,246.7272051,278.2552606,1,8,0,23,1.317731682,2,47.90127567,,0,0.342134355,5,54,,2,2,0
C1298,Manufacturing,EMEA,SubIndustry_5,761.1722172,120,38351,Gold,16,18,6,8,1,3,2,3,87.81190359,521.0499001,2,6,0,22,18.74288375,1,,2,0,0.022559357,,-75,3,,2,1
C1299,Manufacturing,NA,SubIndustry_29,694.8236936,174,40902,,8,39,22,5,2,5,,3,6.830557798,567.9870036,2,8,0,2,30.01757202,4,13.67131457,3,0,0.193187074,5,-29,,2,0,1
C1300,BFSI,,SubIndustry_12,666.6260657,32,5898,Gold,7,,20,27,0,,,1,262.425674,473.9264943,,4,,49,78.57853737,7,78.24007807,1,2,0.406281198,0,55,10,,2,0
C1301,Pharma,,SubIndustry_24,432.4407474,19,41354,Gold,23,5,31,13,1,2,3,3,211.3190539,882.6814208,1,4,N,8,53.237092,0,,,0,0.858451144,2,-13,2,,0,0
C1302,,EMEA,SubIndustry_2,528.1821757,4,33561,Silver,12,46,38,9,1,8,0,3,189.4285995,702.0870038,,8,,5,74.37624525,1,37.62071123,2,1,0.678823151,3,20,2,1,1,0
C1303,Retail,NA,SubIndustry_22,415.8761315,25,2591,Gold,28,32,,25,,5,,3,228.9316374,565.8816269,3,10,N,6,84.46745633,0,36.24588237,3,1,0.607913381,3,-32,4,5,1,1
C1304,,NA,SubIndustry_6,456.1785675,,22234,Gold,,4,3,3,2,3,2,1,4.324238048,662.9237122,3,4,0,40,17.84505424,0,47.10260182,,,0.483805249,20,95,10,5,2,0
,Technology,NA,SubIndustry_0,513.6334201,,33966,Bronze,25,5,36,34,0,2,1,2,152.2774822,291.9074378,1,6,1,25,98.81028144,3,70.49038758,4,0,0.836478349,1,-66,7,4,2,0
C1306,Manufacturing,LATAM,SubIndustry_10,642.7132303,89,47561,Gold,40,18,21,27,0,,3,2,164.2216406,733.5172318,2,4,Y,35,,4,,4,0,,20,-58,5,4,0,0
C1307,Technology,NA,SubIndustry_1,584.6646763,113,46365,Silver,,27,27,14,1,6,1,,106.0666982,499.8874231,1,11,Y,36,79.7218031,,44.47219013,,0,0.941821397,20,86,4,1,0,0
C1308,BFSI,APAC,,467.6341474,98,28576,Bronze,19,36,14,31,0,3,1,2,70.71450261,157.858911,3,,1,5,87.47494826,1,72.82705583,,,0.852363017,5,49,8,5,1,0
C1309,Technology,NA,SubIndustry_23,511.1077482,142,48145,Gold,36,2,15,21,1,0,1,1,206.4203387,612.6844895,3,7,,,39.5241673,,56.91941907,2,0,0.15826566,1,-94,1,4,1,0
C1310,BFSI,NA,SubIndustry_21,,150,41666,Silver,16,19,2,19,1,2,3,3,160.7767854,479.3673533,1,12,0,,64.20488023,1,33.3211666,,0,0.173092685,,91,6,1,1,0
C1311,Technology,EMEA,SubIndustry_29,633.4788876,48,,Bronze,24,23,34,24,,2,3,2,226.7690221,275.4442745,2,,Y,,35.99196297,5,49.54229818,,0,,3,16,,2,1,0
C1312,Retail,EMEA,SubIndustry_13,196.2009673,51,14729,Silver,4,24,21,15,2,4,1,4,186.2156146,398.7271207,0,7,Y,44,0.780840995,5,25.31304647,2,1,0.620384425,10,-11,4,5,1,0
C1313,Technology,,,284.5222072,11,17209,Silver,45,12,31,25,0,3,0,4,,376.732532,1,6,0,15,71.82888206,,51.90983383,5,,0.191356699,,59,,2,1,0
C1314,Retail,LATAM,,721.4621068,14,,Gold,8,24,28,0,1,3,1,1,115.2973621,336.1996266,3,6,N,,2.735998257,,59.71853217,4,0,0.291750244,2,-15,2,3,2,0
C1315,Manufacturing,APAC,SubIndustry_15,487.826086,7,32320,,22,30,13,53,0,4,,5,103.9901906,682.1136938,1,,N,3,51.61224,5,19.38195477,3,0,0.100316935,4,-25,,3,1,1
C1316,Retail,EMEA,SubIndustry_22,415.1846813,40,39025,Gold,9,4,31,36,2,2,2,4,123.2409656,372.5435563,0,11,Y,11,64.17361661,2,,3,1,0.974127892,3,,9,1,2,0
C1317,Manufacturing,EMEA,SubIndustry_14,447.3001054,81,10249,,1,19,26,,2,,2,8,207.063105,609.2258976,1,,1,10,71.6717528,7,41.98598981,4,0,0.38890468,5,33,2,1,1,0
C1318,BFSI,NA,SubIndustry_2,447.2589389,153,32483,Silver,26,11,28,37,0,,2,2,98.96646416,674.3780992,4,6,yes,46,92.60165079,3,64.38748955,5,1,0.045045252,1,99,10,2,2,0
C1319,BFSI,LATAM,SubIndustry_5,611.5875563,123,45607,Gold,46,,2,37,1,1,2,3,170.6946152,672.0639172,2,2,1,27,46.78829102,4,24.83974136,3,,0.448520526,5,77,,1,1,0
C1320,,,SubIndustry_8,278.3967212,170,,Gold,8,1,11,19,1,1,1,2,248.0955046,612.5028973,4,6,,8,42.73311891,3,,3,0,0.624394904,,10,5,2,1,0
C1321,BFSI,EMEA,SubIndustry_2,504.9555493,86,8848,Gold,4,,,7,1,5,1,0,207.5461946,649.8472866,1,10,no,33,59.26465694,5,77.99013873,4,0,,5,-60,7,5,0,1
C1322,Technology,NA,SubIndustry_29,549.2235459,44,28329,Silver,11,26,48,1,,6,2,3,115.6480767,812.0385001,0,4,yes,28,,4,,3,0,0.821014206,4,52,4,1,,0
C1323,,NA,SubIndustry_12,579.2535833,5,33247,Gold,14,12,12,32,1,5,1,3,,918.5765092,1,6,no,43,,4,69.71099176,,0,0.878633585,2,-35,7,1,1,1
,Pharma,,SubIndustry_28,,104,42014,Silver,26,33,4,41,0,3,2,0,149.4781739,,,10,0,13,81.58803014,,37.49981797,4,1,,10,78,10,,0,1
C1325,BFSI,NA,SubIndustry_12,603.1812461,28,1662,,8,22,42,12,0,4,1,1,96.89783823,633.1595201,,4,0,26,70.31245098,3,88.4954295,5,1,0.403454927,3,51,1,3,2,0
C1326,BFSI,EMEA,,385.4607698,121,,Gold,36,,27,25,1,4,3,0,8.05519831,639.5003648,3,6,Y,,41.22320474,4,,4,0,,4,-100,3,2,0,1
C1327,Technology,NA,SubIndustry_6,311.6394535,149,26826,Silver,40,,6,37,1,3,3,2,118.9230361,463.6656531,1,,Y,11,72.06415128,5,21.00815327,5,,0.385468433,3,74,3,4,,0
C1328,Manufacturing,APAC,SubIndustry_4,991.4008887,96,26246,,25,2,6,31,0,11,0,2,96.26959485,482.2164742,,,N,7,76.3401377,3,75.90896943,1,0,0.482973811,,18,8,2,1,0
C1329,Retail,NA,SubIndustry_25,439.7470631,49,4361,Gold,3,22,21,28,0,1,1,3,78.11938443,,,8,yes,5,51.41190978,2,45.82049541,2,1,0.171072503,4,54,3,3,2,0
C1330,,APAC,SubIndustry_28,463.1091059,57,20899,Gold,36,21,11,55,1,1,4,2,125.5984253,536.7467123,3,5,yes,4,30.70335752,2,76.41418254,3,1,0.40622681,,,,2,1,0
C1331,Manufacturing,NA,SubIndustry_7,635.5680195,85,18722,Gold,12,17,29,,0,3,0,2,62.52703751,569.5130939,1,8,no,47,50.38632694,0,43.40191436,2,0,0.563073944,20,-26,9,2,2,1
C1332,BFSI,,SubIndustry_7,819.2178584,101,46086,Silver,22,38,37,19,0,6,1,5,126.3113266,820.6663062,2,12,no,7,68.59032822,3,76.54163228,3,0,0.080367123,1,8,,4,2,0
C1333,Pharma,APAC,SubIndustry_21,391.0943766,38,26184,Silver,19,27,32,7,0,5,3,4,169.1594074,772.6220239,0,8,yes,37,15.03196883,3,58.49520921,,0,0.757837333,0,,2,1,0,0
C1334,Pharma,NA,SubIndustry_6,300.2369464,130,2418,Gold,1,10,12,3,,1,,2,106.5054011,786.0296325,,5,N,21,61.70334738,2,,2,1,0.32570411,3,89,10,5,1,1
C1335,Manufacturing,EMEA,SubIndustry_18,251.5693298,131,18526,Bronze,49,8,18,23,1,5,5,0,121.2986482,623.124235,2,9,N,4,96.28339297,4,52.06837775,2,0,0.547230564,5,-50,3,5,2,1
